
Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland, North Shore Albany Ews,37852,A64776,-36.74827,174.71377,64,H,Niwa
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
Auckland, North Shore Albany Ews,20230211:2259,1.7,24,D
Auckland, North Shore Albany Ews,20230212:2259,0.0,24,D
Auckland, North Shore Albany Ews,20230213:2259,0.0,24,D
Auckland, North Shore Albany Ews,20230214:2259,0.1,24,D
Auckland, North Shore Albany Ews,20230215:2259,9.1,24,D
Auckland, North Shore Albany Ews,20230216:2259,8.0,24,D
Auckland, North Shore Albany Ews,20230217:2259,11.4,24,D
Auckland, North Shore Albany Ews,20230218:2259,10.6,24,D
Auckland, North Shore Albany Ews,20230219:2259,8.8,24,D
Auckland, North Shore Albany Ews,20230220:2259,11.0,24,D
Auckland, North Shore Albany Ews,20230221:2259,9.5,24,D
Auckland, North Shore Albany Ews,20230222:2259,7.9,24,D
Auckland, North Shore Albany Ews,20230223:2259,4.0,24,D
Auckland, North Shore Albany Ews,20230224:2259,0.0,24,D
Auckland, North Shore Albany Ews,20230225:2259,5.6,24,D
Auckland, North Shore Albany Ews,20230226:2259,8.1,24,D
Auckland, North Shore Albany Ews,20230227:2259,2.8,24,D
Auckland, North Shore Albany Ews,20230228:2259,8.3,24,D
Auckland, North Shore Albany Ews,20230301:2259,8.1,24,D
Auckland, North Shore Albany Ews,20230302:2259,11.6,24,D
Auckland, North Shore Albany Ews,20230303:2259,7.4,24,D
Auckland, North Shore Albany Ews,20230304:2259,11.4,24,D
Auckland, North Shore Albany Ews,20230305:2259,9.4,24,D
Auckland, North Shore Albany Ews,20230306:2259,6.4,24,D
Auckland, North Shore Albany Ews,20230307:2259,10.4,24,D
Auckland, North Shore Albany Ews,20230308:2259,11.4,24,D
Auckland, North Shore Albany Ews,20230309:2259,3.8,24,D
Auckland, North Shore Albany Ews,20230310:2259,2.3,24,D
Auckland, North Shore Albany Ews,20230311:2259,9.4,24,D
Auckland, North Shore Albany Ews,20230312:2259,10.4,24,D
Auckland, North Shore Albany Ews,20230313:2259,0.7,24,D
Auckland, North Shore Albany Ews,20230314:2259,11.4,24,D
Auckland, North Shore Albany Ews,20230315:2259,10.6,24,D
Auckland, North Shore Albany Ews,20230316:2259,4.8,24,D
Auckland, North Shore Albany Ews,20230317:2259,3.7,24,D
Auckland, North Shore Albany Ews,20230318:2259,8.2,24,D
Auckland, North Shore Albany Ews,20230319:2259,8.6,24,D
Auckland, North Shore Albany Ews,20230320:2259,9.1,24,D
Auckland, North Shore Albany Ews,20230321:2259,1.7,24,D
Auckland, North Shore Albany Ews,20230322:2259,10.2,24,D
Auckland, North Shore Albany Ews,20230323:2259,6.4,24,D
Auckland, North Shore Albany Ews,20230324:2259,4.7,24,D
Auckland, North Shore Albany Ews,20230325:2259,7.6,24,D
Auckland, North Shore Albany Ews,20230326:2259,8.6,24,D
Auckland, North Shore Albany Ews,20230327:2259,0.5,24,D
Auckland, North Shore Albany Ews,20230328:2259,6.8,24,D
Auckland, North Shore Albany Ews,20230329:2259,10.3,24,D
Auckland, North Shore Albany Ews,20230330:2259,10.1,24,D
Auckland, North Shore Albany Ews,20230331:2259,7.9,24,D
Auckland, North Shore Albany Ews,20230401:2259,0.7,24,D
Auckland, North Shore Albany Ews,20230402:2359,7.3,24,D
Auckland, North Shore Albany Ews,20230403:2359,8.9,24,D
Auckland, North Shore Albany Ews,20230404:2359,9.1,24,D
Auckland, North Shore Albany Ews,20230405:2359,9.9,24,D
Auckland, North Shore Albany Ews,20230406:2359,0.0,24,D
Auckland, North Shore Albany Ews,20230407:2359,5.9,24,D
Auckland, North Shore Albany Ews,20230408:2359,10.1,24,D
Auckland, North Shore Albany Ews,20230409:2359,2.2,24,D
Auckland, North Shore Albany Ews,20230410:2359,7.5,24,D
Auckland, North Shore Albany Ews,20230411:2359,6.4,24,D
Auckland, North Shore Albany Ews,20230412:2359,2.9,24,D
Auckland, North Shore Albany Ews,20230413:2359,7.3,24,D
Auckland, North Shore Albany Ews,20230414:2359,5.9,24,D
Auckland, North Shore Albany Ews,20230415:2359,0.0,24,D
Auckland, North Shore Albany Ews,20230416:2359,0.9,24,D
Auckland, North Shore Albany Ews,20230417:2359,8.6,24,D
Auckland, North Shore Albany Ews,20230418:2359,3.4,24,D
Auckland, North Shore Albany Ews,20230419:2359,3.2,24,D
Auckland, North Shore Albany Ews,20230420:2359,7.8,24,D
Auckland, North Shore Albany Ews,20230421:2359,0.1,24,D
Auckland, North Shore Albany Ews,20230422:2359,0.2,24,D
Auckland, North Shore Albany Ews,20230423:2359,0.0,24,D
Auckland, North Shore Albany Ews,20230424:2359,7.6,24,D
Auckland, North Shore Albany Ews,20230425:2359,4.9,24,D
Auckland, North Shore Albany Ews,20230426:2359,5.9,24,D
Auckland, North Shore Albany Ews,20230427:2359,6.1,24,D
Auckland, North Shore Albany Ews,20230428:2359,7.1,24,D
Auckland, North Shore Albany Ews,20230429:2359,1.7,24,D
Auckland, North Shore Albany Ews,20230430:2359,1.4,24,D
Auckland, North Shore Albany Ews,20230501:2359,0.9,24,D
Auckland, North Shore Albany Ews,20230502:2359,1.6,24,D
Auckland, North Shore Albany Ews,20230503:2359,0.0,24,D
Auckland, North Shore Albany Ews,20230504:2359,0.1,24,D
Auckland, North Shore Albany Ews,20230505:2359,0.0,24,D
Auckland, North Shore Albany Ews,20230506:2359,0.0,24,D
Auckland, North Shore Albany Ews,20230507:2359,2.3,24,D
Auckland, North Shore Albany Ews,20230508:2359,3.3,24,D
Auckland, North Shore Albany Ews,20230509:2359,0.0,24,D
Auckland, North Shore Albany Ews,20230510:2359,4.2,24,D
Auckland, North Shore Albany Ews,20230511:2359,3.8,24,D
Auckland, North Shore Albany Ews,20230512:2359,8.4,24,D
Auckland, North Shore Albany Ews,20230513:2359,5.9,24,D
Auckland, North Shore Albany Ews,20230514:2359,5.5,24,D
Auckland, North Shore Albany Ews,20230515:2359,4.2,24,D
Auckland, North Shore Albany Ews,20230516:2359,6.5,24,D
Auckland, North Shore Albany Ews,20230517:2359,7.3,24,D
Auckland, North Shore Albany Ews,20230518:2359,1.5,24,D
Auckland, North Shore Albany Ews,20230519:2359,5.7,24,D
Auckland, North Shore Albany Ews,20230520:2359,1.8,24,D
Auckland, North Shore Albany Ews,20230521:2359,4.8,24,D

UserName is = twwhite.pvt@gmail.com
Total number of rows output = 504
Number of rows remaining in subscription = 1872935
Copyright NIWA 2023 Subject to NIWA's Terms and Conditions
See: http://clifloecd1.niwa.co.nz/pls/niwp/doc/terms.html
Comments to: cliflo@niwa.co.nz

